Date|Month|Ticket-Type|Pos-ID|Outlet-Code|Store-Code|Store-Name|Type-Info|SKU|Product-Name|Category|Group|Royalty-Group|Qty|Sales|Discount|Voucher|Gross-Sales|VAT|Source-Mistake|Mistake-Details
25-Jan-26|Jan.26|Cancel|117150|10636|AHD|BreadTalk AeonMall Hà Đông|Sai PTTT||||||1|0|0|0|0|0||
25-Jan-26|Jan.26|Cancel|117133|10612|CTV|BreadTalk Cantavil|Hóa Đơn Test||||||3|0|0|0|0|0||
25-Jan-26|Jan.26|Cancel|117130|10614|ATP|BreadTalk AeonMall Tân Phú|Phục Vụ Nhầm||||||2|0|0|0|0|0||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|3530401|Ổ Bánh Song Tầng Cát An (Lucky Banana Cake)|Dry Cake|DryCake|Cake|1|126000|100000|0|26000|1925.93||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|3533023|Bánh Bông Lan Phô Mai Mật Ong (Crater Chez Honey Cake)|Dry Cake|DryCake|Cake|52|3588000|0|0|3588000|265777.72||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|3550002|Bánh Bông Lan Cuộn Sô Cô La (SR Chocolate Sliced)|Dry Cake|DryCake|Cake|15|245000|0|0|245000|18148.14||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|3550005|Bánh Bông Lan Cuộn Trà Xanh (SR Green Tea Sliced)|Dry Cake|DryCake|Cake|33|630000|11623|0|618377|45805.68||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|3550007|Bánh Bông Lan Cuộn Nho Khô (SR Raisin Sliced)|Dry Cake|DryCake|Cake|27|525000|5932|0|519068|38449.450000000004||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|4550101|Bánh Quy Trang Trí (Sweet Decor Cookies)|Cookies|SliceCake|Cake|8|224000|0|0|224000|16592.59||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|5020101|Set Phụ Kiện Sinh Nhật (Birthday Party Set)|Others|Others|Others|6|240000|240000|0|0|0.0||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|5500044|Cà Phê Đen (PHIN Black Coffee)|Drinks|Drinks|Drinks|1|30000|0|0|30000|2727.27||
01-Feb-26|Feb.26|Ticket|117128|10622|ABT|BreadTalk AeonMall Bình Tân|Waste-Ticket||||||1|0|0|0|0|0||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|5510261|Hồng trà Chanh Dây (Black Passion Fruit Iced Tea)|Drinks|Drinks|Drinks|14|588000|8207|0|579793|52708.439999999995||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|5510263|Trà Cam (Orange Iced Tea)|Drinks|Drinks|Drinks|10|420000|0|0|420000|38181.799999999996||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|5510265|Trà Dâu (Strawberry Iced Tea)|Drinks|Drinks|Drinks|11|462000|0|0|462000|41999.979999999996||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|5510269|Matcha Sữa Tươi (Matcha Latte)|Drinks|Drinks|Drinks|1|49000|0|0|49000|4454.55||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|5510303|Trà Sữa Thái Đỏ (Thai Red Milk Tea)|Drinks|Drinks|Drinks|1|59000|34000|0|25000|2272.73||
01-Feb-26|Feb.26|Sales|117151|10621|ALB|BreadTalk AeonMall Long Biên|Sales|5540001|Nước Ngọt Coca Lon (Coca Cola Can)|Bottle|Drinks|Drinks|1|25000|0|0|25000|2272.73||
