Date|Month|Ticket-Type|Pos-ID|Outlet-Code|Store-Code|Store-Name|Type-Info|SKU|Product-Name|Category|Group|Royalty-Group|Qty|Sales|Discount|Voucher|Gross-Sales|VAT
08-Jul-26|Jul.26|Ticket|117147|10640|VGP|BreadTalk Vinhomes Grand Park|Process-Ticket||||||1|0|0|0|0|0
09-Jul-26|Jul.26|Ticket|117147|10640|VGP|BreadTalk Vinhomes Grand Park|Process-Ticket||||||1|0|0|0|0|0
11-Jul-26|Jul.26|Ticket|117147|10640|VGP|BreadTalk Vinhomes Grand Park|Process-Ticket||||||1|0|0|0|0|0
12-Jul-26|Jul.26|Ticket|117147|10640|VGP|BreadTalk Vinhomes Grand Park|Process-Ticket||||||1|0|0|0|0|0
13-Jul-26|Jul.26|Ticket|117156|10644|AHP|BreadTalk Aeon Mall Hải Phòng|Buying-Ticket||||||1|0|0|0|0|0
13-Jul-26|Jul.26|Ticket|117147|10640|VGP|BreadTalk Vinhomes Grand Park|Process-Ticket||||||1|0|0|0|0|0
14-Jul-26|Jul.26|Ticket|117130|10614|ATP|BreadTalk AeonMall Tân Phú|Buying-Ticket||||||2|0|0|0|0|0
14-Jul-26|Jul.26|Ticket|117134|10632|GGM|BreadTalk Gigamall|Buying-Ticket||||||1|0|0|0|0|0
14-Jul-26|Jul.26|Ticket|117151|10621|ALB|BreadTalk AeonMall Long Biên|Buying-Ticket||||||1|0|0|0|0|0
14-Jul-26|Jul.26|Ticket|117129|10637|ACO|BreadTalk Âu Cơ|Import-Ticket||||||2|0|0|0|0|0
14-Jul-26|Jul.26|Ticket|117153|10629|RYC|BreadTalk Vincom Royal City|Import-Ticket||||||2|0|0|0|0|0
14-Jul-26|Jul.26|Ticket|117128|10622|ABT|BreadTalk AeonMall Bình Tân|Import-Ticket||||||1|0|0|0|0|0
14-Jul-26|Jul.26|Ticket|117147|10640|VGP|BreadTalk Vinhomes Grand Park|Process-Ticket||||||1|0|0|0|0|0
15-Jul-26|Jul.26|Ticket|117133|10612|CTV|BreadTalk Cantavil|Import-Ticket||||||1|0|0|0|0|0
15-Jul-26|Jul.26|Ticket|117134|10632|GGM|BreadTalk Gigamall|Import-Ticket||||||2|0|0|0|0|0
