Date|Month|Ticket-Type|Pos-ID|Outlet-Code|Store-Code|Store-Name|Type-Info|SKU|Product-Name|Category|Group|Royalty-Group|Qty|Sales|Discount|Voucher|Gross-Sales|VAT|Source-Mistake|Mistake-Details
01-Jun-26|Jun.26|Import|117140|10646|SAV|BreadTalk Sun Avenue|Import|1500006|Bánh Hạnh Nhân Kem (T Cures of Golden Flower)|Bread|Bread|Bread|2.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117134|10632|GGM|BreadTalk Gigamall|Process|1530034|Bánh Bơ Tỏi Kem Phô Mai (Cream Chez Garlic)|Bread|Bread|Bread|12.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117134|10632|GGM|BreadTalk Gigamall|Process|3530260|Bánh Vani Chà Bông (Momoji (Chiffon Floss Vanilla)|Bread|Bread|Bread|12.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117134|10632|GGM|BreadTalk Gigamall|Process|BR-00004|Bánh Nhân Kem Việt Quất (Blueberry Custard)|Bread|Bread|Bread|6.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500001|Bánh Siêu Chà Bông (Flosss)|Bread|Bread|Bread|10.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500002|Bánh Xúc Xích Đỏ (Sausage Standard)|Bread|Bread|Bread|5.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500003|Bánh Xúc Xích Phô Mai (Cheese Sausage)|Bread|Bread|Bread|5.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500004|Bánh Chà Bông Cay (Spicy Flosss - Fire Flosss)|Bread|Bread|Bread|19.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500005|Bánh Mì Phô Mai Nam Việt Quất (CranberryCr Cheese Toast)|Toast|Toast|Bread|8.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500006|Bánh Hạnh Nhân Kem (T Cures of Golden Flower)|Bread|Bread|Bread|2.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117134|10632|GGM|BreadTalk Gigamall|Process|1523115|Bánh Sừng Trâu Phô Mai Mini (Croissant Cheze Lava Mini)|Danish|Bread|Bread|5.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500007|Bánh Thịt Nguội Phô Mai (Ham & Cheese)|Bread|Bread|Bread|4.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500013|Bánh Chà Bông Cuộn Rau Củ (Spring In The City)|Bread|Bread|Bread|8.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500021|Bánh Mì Nho Khô (Pillow Raisin)|Bread|Bread|Bread|4.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500026|Bánh Phô Mai Dài (Get Cheesy)|Bread|Bread|Bread|4.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500028|Bánh Su Kem (Smart Aleck)|Bread|Bread|Bread|4.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500081|Bánh Gà Phô Mai (Chicken Parmesan)|Bread|Bread|Bread|5.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500089|Bánh Phô Mai Nho (Raisin Cream Cheese)|Bread|Bread|Bread|5.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500094|Bánh Vòng Chiên Phủ Đường (Donut Sugar)|Bread|Bread|Bread|2.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500095|Bánh Vòng Phủ Sô Cô La (Donut Chocolate Rainbow)|Bread|Bread|Bread|2.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500134|Bánh Chà Bông Phô Mai (Cheese Flosss)|Bread|Bread|Bread|3.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500010|Bánh Phô Mai Nam Việt Quất (Cranberry Cream Cheese)|Bread|Bread|Bread|5.0|0|0|0|0|0||
01-Jun-26|Jun.26|Process|117137|10604|NTP|BreadTalk Nguyễn Tri Phương|Process|1500228|Bánh Siêu Phô Mai (Double Cheese)|Bread|Bread|Bread|4.0|0|0|0|0|0||
